id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,speechiness
103,In Streams from Great Mysteries,Vargrav,black-metal,aggressive,0.871,82.308,0.0359,0.124,1.65e-05,0.908,0.37,0.0806
104,Cycle of Decay,Gaerea,black-metal,aggressive,0.994,179.982,0.0385,0.0897,2.27e-06,0.88,0.111,0.186
105,The Dark One,Unleashed,black-metal,aggressive,0.949,110.752,0.329,0.244,2.13e-05,0.214,0.203,0.0612
106,I'll Meet You In The Morning,Appalachian Express,bluegrass,melancholy,0.0587,167.977,0.47,0.514,0.863,0.0,0.0879,0.0501
107,Head Full Of Doubt/Road Full Of Promise - Live At Bojangles' Coliseum/2009,The Avett Brothers,bluegrass,intense,0.627,175.304,0.201,0.313,0.475,3.56e-06,0.713,0.0346
108,Sixteen Tons,Tennessee Ernie Ford,bluegrass,melancholy,0.25,144.145,0.412,0.667,0.757,0.0,0.25,0.217
109,Elko,Railroad Earth,bluegrass,happy,0.885,190.72,0.779,0.41,0.49,0.0485,0.914,0.0548
110,No Rain,Yonder Mountain String Band,bluegrass,chill,0.47,78.639,0.65,0.433,0.0909,0.0106,0.675,0.0289
111,Car Wreck,The Devil Makes Three,bluegrass,moody,0.403,140.744,0.326,0.353,0.401,0.308,0.236,0.0385
112,Ain't No Grave (Sparse),Crooked Still;Aoife O'Donovan,bluegrass,melancholy,0.145,81.055,0.284,0.67,0.935,1.29e-05,0.0859,0.0422
113,"Cluck Old Hen - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,bluegrass,happy,0.897,125.985,0.93,0.456,0.0355,0.695,0.721,0.0343
114,A Letter to Seymour,Greensky Bluegrass,bluegrass,happy,0.63,177.334,0.744,0.41,0.454,0.0818,0.0835,0.0503
115,Captain's Daughter,Mipso,bluegrass,peaceful,0.29,109.972,0.688,0.634,0.878,0.0017,0.138,0.0318
116,How Do You Know?,The Infamous Stringdusters,bluegrass,energetic,0.844,100.71,0.571,0.559,0.39,0.0321,0.171,0.0353
117,With A Memory Like Mine,Tim O'Brien;Darrell Scott,bluegrass,happy,0.547,138.953,0.751,0.481,0.664,1.37e-05,0.131,0.0321
118,Still Life,Sarah Jarosz,bluegrass,melancholy,0.338,142.207,0.459,0.494,0.725,0.0,0.128,0.0308
119,Stork Bite,Andy Thorn,bluegrass,peaceful,0.248,127.487,0.646,0.48,0.938,0.841,0.0623,0.049
120,Old & In The Way Breakdown,Old & In The Way,bluegrass,happy,0.507,152.403,0.913,0.435,0.397,0.904,0.837,0.0348
121,Fallout,UNSECRET;Neoni,blues,intense,0.536,109.911,0.188,0.53,0.335,0.0259,0.0939,0.0391
122,Beautiful Dreamer,Atlanta Rhythm Section,blues,melancholy,0.264,124.987,0.257,0.433,0.64,0.00275,0.286,0.0346
123,Run Rudolph Run,Chuck Berry,blues,happy,0.876,151.925,0.949,0.647,0.881,3.59e-05,0.26,0.185
124,The Hunter,Adam Jensen,blues,energetic,0.762,82.464,0.564,0.527,0.222,0.000283,0.0765,0.0778
125,Silver Bells,The Miracles,blues,peaceful,0.329,99.408,0.87,0.606,0.616,0.0,0.121,0.0249
126,Twenty Five and Up,Avail Hollywood,blues,excited,0.831,139.053,0.628,0.773,0.00499,1.4e-06,0.0531,0.0489
127,Inside Friend (feat. John Mayer),Leon Bridges;John Mayer,blues,sad,0.259,88.972,0.361,0.693,0.448,0.000135,0.0995,0.0372
128,I've Got To Use My Imagination,The Rides,blues,fiery,0.709,98.819,0.469,0.516,0.274,0.000189,0.17,0.034
129,Un Trago Para Ver Mejor,La Mississippi,blues,energetic,0.942,166.291,0.649,0.294,0.206,3.23e-05,0.97,0.0808
130,Letter to My Baby - Part 2,Donnie Ray,blues,excited,0.574,99.973,0.787,0.785,0.129,0.000757,0.116,0.0276
131,Going Down,Freddie King,blues,energetic,0.526,167.936,0.637,0.565,0.0339,0.000119,0.11,0.0365
132,From the Back,LJ Echols,blues,excited,0.803,111.008,0.962,0.849,0.0745,3.51e-05,0.0621,0.0616
133,I've Got A Crush On You,Ella Fitzgerald,blues,melancholy,0.106,66.807,0.258,0.455,0.986,0.0,0.122,0.0422
134,Another Wave,Raphael Lake,blues,happy,0.729,104.973,0.763,0.593,0.0166,0.0,0.0904,0.0334
135,Sothern Soul Party Mood,Karen Wolfe,blues,chill,0.387,109.009,0.907,0.975,0.0308,2.75e-06,0.0312,0.0448
136,Paraíso Que Me Cerca,BK;JXNV$;Mayra Andrade,brazil,intense,0.676,118.047,0.0845,0.816,0.701,0.0139,0.201,0.0708
137,Tempestade E Sol - Ao Vivo,Catedral,brazil,energetic,0.832,135.911,0.612,0.509,0.0837,2.76e-06,0.976,0.265
138,Qual É o Rosto de Deus?,BRAZA,brazil,excited,0.765,172.0,0.663,0.764,0.493,3.26e-06,0.0894,0.0559
139,Fé,3030;Rael,brazil,excited,0.522,110.011,0.784,0.9,0.313,4.37e-06,0.107,0.0371
140,Homenzinho Torto,Aline Barros,brazil,happy,0.636,110.039,0.933,0.611,0.182,0.0,0.125,0.0853
141,Segura Na Minha Mão,Jefferson & Suellen,brazil,intense,0.502,130.042,0.147,0.384,0.486,0.0,0.511,0.0321
142,Kamayatra,Mandragora,brazil,intense,0.542,118.988,0.18,0.761,0.000434,0.854,0.122,0.0547
143,Filho Do Deus Vivo - Ao Vivo,Nívea Soares,brazil,aggressive,0.873,133.982,0.246,0.517,0.00218,4.8e-05,0.95,0.0349
144,Pai,Marcos Antônio,brazil,energetic,0.574,117.048,0.577,0.655,0.327,0.0,0.366,0.031
145,O dia em que a terra parou,Raul Seixas,brazil,fiery,0.729,113.295,0.344,0.55,0.089,0.0,0.0462,0.148
146,Relicário,Nando Reis,brazil,fiery,0.516,83.805,0.397,0.46,0.448,0.0,0.209,0.0276
147,O Verbo (Alfa e Ômega),Klebson Kollins,brazil,intense,0.696,135.119,0.136,0.243,0.109,0.00135,0.0577,0.0451
148,Não Há Outro Lugar (Ao Vivo),Central 3,brazil,intense,0.73,141.075,0.225,0.403,0.21,5.4e-05,0.552,0.0356
149,Vinheta,Clarice Falcão,brazil,happy,0.685,115.929,0.745,0.519,0.373,0.0,0.0629,0.0955
150,Dia Especial (Ao Vivo),Cidadão Quem,brazil,energetic,0.583,89.428,0.598,0.375,0.545,1.74e-05,0.964,0.0288
151,TKO (feat. Rye Rye & Zion I),Bassnectar;Rye Rye;Zion I,breakbeat,aggressive,0.995,88.008,0.448,0.545,0.00542,0.0943,0.0939,0.237
152,No No No - Serial Killaz Remix,Ed Solo;Deekline,breakbeat,happy,0.941,176.022,0.895,0.554,7.33e-05,0.422,0.0627,0.0579
153,Black Jack,Plump DJs,breakbeat,energetic,0.95,134.055,0.537,0.655,0.000123,0.852,0.139,0.0522
154,Slayed,Overseer,breakbeat,energetic,0.899,170.018,0.517,0.655,0.0346,0.0122,0.0774,0.157
155,VIP Sound - Benny Page Remix,Deekline;Ed Solo;General Levy;Benny Page,breakbeat,aggressive,0.854,174.979,0.387,0.627,0.000943,0.000756,0.21,0.0716
156,Bang On!,Propellerheads,breakbeat,aggressive,0.972,146.88,0.188,0.511,0.000675,0.598,0.603,0.0931
157,System Check,Roni Size;Reprazent,breakbeat,energetic,0.888,170.1,0.614,0.645,0.0503,0.000401,0.0983,0.239
158,"Weekend Song (7"" Version)",Freestylers;Tenor Fly,breakbeat,excited,0.594,109.911,0.717,0.853,0.109,4.35e-06,0.156,0.135
159,We Came To Party - Original,Malente,breakbeat,excited,0.88,118.991,0.786,0.754,0.0108,0.000829,0.355,0.0482
160,Snapshot,Roni Size;Reprazent,breakbeat,happy,0.863,169.839,0.796,0.551,0.0516,2.56e-06,0.189,0.207
161,Crossing Wires 002 - Continuous DJ Mix,Timo Maas,breakbeat,intense,0.632,121.055,0.151,0.697,0.00815,0.871,0.0998,0.0451
162,Spitfire - Future Funk Squad's 'Dogfight' Mix,The Prodigy,breakbeat,happy,0.963,130.024,0.758,0.642,0.000215,0.708,0.875,0.0419
163,Lose Control,Shade k;Lady Shade,breakbeat,happy,0.93,132.017,0.888,0.722,0.00824,0.00151,0.584,0.256
164,The Day Is My Enemy,The Prodigy,breakbeat,energetic,0.959,105.99,0.519,0.536,0.0017,0.00645,0.565,0.0538
165,The Dust Off,Deekline;Specimen A,breakbeat,aggressive,0.933,173.979,0.258,0.697,0.014,0.0397,0.185,0.0444
166,Making Water,Harry Gregson-Williams,british,melancholy,0.335,115.952,0.0384,0.495,0.826,0.873,0.104,0.0494
167,Even After All,Finley Quaye,british,melancholy,0.264,94.074,0.419,0.782,0.557,0.0545,0.101,0.133
168,Apache,The Shadows,british,chill,0.451,133.671,0.779,0.595,0.0106,0.929,0.0962,0.0288
169,Harry in Winter,Patrick Doyle,british,melancholy,0.248,110.447,0.0396,0.175,0.559,0.966,0.189,0.0423
170,Shiver,Lucy Rose,british,melancholy,0.192,122.631,0.135,0.463,0.706,8.46e-05,0.105,0.0338
171,Don't Cha Wanna Ride,Joss Stone,british,happy,0.853,90.552,0.697,0.585,0.132,0.0,0.856,0.213
172,We Can Work It Out - Remastered 2015,The Beatles,british,energetic,0.677,106.071,0.648,0.378,0.0635,0.0,0.183,0.0298
173,Hometown Glory,Adele,british,melancholy,0.336,122.456,0.21,0.436,0.962,3.4e-05,0.102,0.037
174,All Around the World - Remastered,Lisa Stansfield;Ian Devaney;Andy Morris,british,happy,0.914,101.201,0.806,0.671,0.573,2.77e-06,0.0856,0.107
175,Can't Fight,Lianne La Havas,british,happy,0.522,86.985,0.768,0.737,0.0772,0.00347,0.152,0.0485
176,Anna (Go To Him) - Remastered 2009,The Beatles,british,happy,0.565,109.286,0.835,0.608,0.635,0.0,0.0601,0.0336
177,Tonight Tonight,Celeste,british,energetic,0.834,109.997,0.643,0.611,0.0544,1.57e-05,0.232,0.0299
178,Taxman - Remastered 2009,The Beatles,british,happy,0.596,133.586,0.783,0.469,0.0101,0.0,0.321,0.0749
179,Riding the Blues,Snowy White;The White Flames,british,melancholy,0.432,127.104,0.0904,0.438,0.505,0.00521,0.144,0.0318
180,When A Woman,Gabrielle,british,happy,0.719,149.826,0.889,0.653,0.235,1.47e-05,0.0947,0.0306
181,罅隙,Anthony Wong,cantopop,melancholy,0.38,123.977,0.366,0.608,0.777,0.000227,0.124,0.0351
182,獨醉街頭,Alan Tam,cantopop,energetic,0.522,142.59,0.535,0.563,0.706,0.0,0.227,0.0379
183,東京人壽,Joey Yung,cantopop,aggressive,0.813,142.14,0.341,0.451,0.198,0.0,0.332,0.0506
184,是有種人,Denise Ho,cantopop,melancholy,0.398,75.035,0.339,0.535,0.7,0.0,0.119,0.0353
185,心有不甘 - 電視劇《皓鑭傳》主題曲,HANA,cantopop,melancholy,0.348,167.865,0.221,0.511,0.781,0.0,0.202,0.0309
186,Let Us Go Then You and I,Serrini,cantopop,intense,0.509,160.031,0.205,0.49,0.223,0.0,0.126,0.0271
187,830,Claudia Koh,cantopop,energetic,0.596,141.426,0.543,0.655,0.54,4.36e-06,0.0817,0.062
188,"Can You Hear - 劇集 ""白色強人"" 插曲",Kayee Tam,cantopop,melancholy,0.327,139.253,0.13,0.488,0.619,0.0,0.18,0.0303
189,餘震,Hins Cheung,cantopop,melancholy,0.371,133.791,0.286,0.467,0.696,4.84e-06,0.116,0.0353
190,Wonderful tonight,Khalil Fong,cantopop,melancholy,0.167,94.522,0.225,0.79,0.506,0.00222,0.109,0.0363
191,故鄉的雨,張偉文,cantopop,moody,0.448,163.952,0.368,0.452,0.31,0.0258,0.831,0.0321
192,一夜傾情,Leon Lai,cantopop,fiery,0.645,114.154,0.382,0.522,0.111,4.27e-06,0.332,0.0331
193,誰可情深如我,Ekin Cheng,cantopop,melancholy,0.403,82.089,0.364,0.483,0.766,0.0,0.547,0.0252
194,2084,Dear Jane,cantopop,aggressive,0.846,104.932,0.443,0.361,0.132,6.53e-05,0.286,0.0337
195,貼心,Daniel Chan,cantopop,fiery,0.501,136.081,0.419,0.587,0.531,0.0,0.118,0.0394
196,School,Robert Hood,chicago-house,excited,0.686,136.488,0.961,0.785,7.25e-05,0.672,0.097,0.0569
197,It's Ok - Album Mix,Jesse Saunders,chicago-house,aggressive,0.798,118.98,0.322,0.802,6.54e-06,0.704,0.0887,0.048
198,My Dub,DJ Sneak,chicago-house,excited,0.949,126.248,0.66,0.812,0.00135,0.944,0.0471,0.0743
199,7 Mile Dog,Robert Hood,chicago-house,intense,0.676,132.07,0.0373,0.747,0.000368,0.933,0.108,0.055
200,To Do - Derrick Carter's Farina Experiment,Mark Farina;Kaskade;Derrick Carter,chicago-house,excited,0.831,127.001,0.591,0.801,0.000147,0.804,0.66,0.0481
201,Suavesito,Ralphi Rosario,chicago-house,excited,0.638,127.862,0.627,0.799,5.67e-05,0.922,0.0638,0.0583
202,I'll Be Your Friend - Original Mix (2011 Remastered Version),Robert Owens,chicago-house,energetic,0.859,121.867,0.573,0.731,0.000652,0.000184,0.116,0.0414
203,For You,Ten City,chicago-house,energetic,0.514,120.78,0.604,0.725,0.11,4.81e-06,0.192,0.0519
204,Let Yourself Go - A Director's Cut Master,Frankie Knuckles;Director's Cut;Eric Kupper;Sybil,chicago-house,fiery,0.638,123.988,0.464,0.655,0.00109,0.00388,0.496,0.0366
205,Ignite A War,Robert Hood,chicago-house,excited,0.613,130.97,0.87,0.769,0.00021,0.936,0.151,0.0355
206,Making Love,Ron Trent,chicago-house,aggressive,0.836,124.525,0.488,0.555,0.0631,0.772,0.0502,0.054
207,Natural High - Dirty Channels Extended Remix,Mike Dunn;Dirty Channels,chicago-house,excited,0.912,126.019,0.962,0.834,0.0016,0.856,0.0861,0.0395
208,Percolator (Will Clarke Remix) - Original Mix,Cajmere;Will Clarke,chicago-house,aggressive,0.885,125.98,0.375,0.781,0.157,0.212,0.0744,0.0839
209,The Whistle Song - Re-Directed,Frankie Knuckles;Director's Cut;Eric Kupper,chicago-house,aggressive,0.86,126.013,0.387,0.707,0.00324,0.901,0.105,0.033
210,Get Up Off Me '95 - Dub,Cajmere;Dajae,chicago-house,excited,0.974,125.006,0.813,0.839,0.00113,0.481,0.0261,0.0655
211,Beddy-Bye Butterfly,Super Simple Songs,children,melancholy,0.174,76.222,0.468,0.618,0.967,0.0,0.337,0.0296
212,Wereldreis,Kinderen voor Kinderen,children,energetic,0.82,169.681,0.575,0.437,0.0453,0.0,0.282,0.252
213,The Laughing Song,CoComelon,children,peaceful,0.433,104.997,0.952,0.966,0.789,0.0,0.116,0.0688
214,Three Little Kittens,CoComelon,children,tender,0.31,139.991,0.884,0.912,0.155,0.0,0.096,0.0415
